onset	duration	sample	markertype	markervalue	blocknum	trialnum	keycode	rating	responsetime	movement	movtype	plannedisi	actualisi	cuetime	tasktime	mov_onset	valid_movement	artefact_1stpass	bad_channels	component_number	component_type	artefact_2ndpass
108.048	0.002	54025	Stimulus	S 20	1	1	n/a	n/a	n/a	forward	real	2.52916666666667	2.53338003158569	1.50002789497375	3.00005507469177	1.77083333333333	yes	0	F5	1,2,4	blink,blink,eye movement	1
117.274	0.002	58638	Stimulus	S 20	1	2	n/a	n/a	n/a	mouth	real	2.7125	2.71671772003174	1.50002837181091	3.00005483627319	2.625	yes	0	F5	1,2,4	blink,blink,eye movement	0
125.958	0.002	62980	Stimulus	S 20	1	3	n/a	n/a	n/a	forward	real	2.17083333333333	2.17504096031189	1.50002813339233	3.00005578994751	2.3125	yes	0	F5	1,2,4	blink,blink,eye movement	0
134.8	0.002	67401	Stimulus	S 20	1	4	n/a	n/a	n/a	mouth	real	2.32916666666667	2.33337807655334	1.50002813339233	3.00005602836609	0.225	yes	0	F5	1,2,4	blink,blink,eye movement	0
143.492	0.002	71747	Stimulus	S 20	1	5	n/a	n/a	n/a	mouth	real	2.17916666666667	2.18337488174438	1.50002789497375	3.00005698204041	0.3375	yes	0	F5	1,2,4	blink,blink,eye movement	0
152.316	0.002	76159	Stimulus	S 20	1	6	n/a	n/a	n/a	forward	real	2.3125	2.31671071052551	1.50002932548523	3.00005674362183	1.26666666666667	yes	0	F5	1,2,4	blink,blink,eye movement	0
161.224	0.002	80613	Stimulus	S 20	1	7	n/a	n/a	n/a	shoulder	real	2.39583333333333	2.40004730224609	1.50002861022949	3.00005698204041	0.383333333333333	yes	0	F5	1,2,4	blink,blink,eye movement	0
170.284	0.002	85143	Stimulus	S 20	1	8	n/a	n/a	n/a	shoulder	real	2.54583333333333	2.5500500202179	1.50002908706665	3.0000581741333	1.44166666666667	yes	0	F5	1,2,4	blink,blink,eye movement	0
178.834	0.002	89418	Stimulus	S 20	1	9	n/a	n/a	n/a	mouth	real	2.0375	2.04170703887939	1.50002908706665	3.00005793571472	1.37916666666667	yes	0	F5	1,2,4	blink,blink,eye movement	0
187.892	0.002	93947	Stimulus	S 20	1	10	n/a	n/a	n/a	forward	real	2.54583333333333	2.55005025863647	1.50002884864807	3.00005912780762	1.19166666666667	yes	0	F5	1,2,4	blink,blink,eye movement	0
196.676	0.002	98339	Stimulus	S 20	1	11	n/a	n/a	n/a	forward	real	2.27083333333333	2.27504515647888	1.50002884864807	3.00005888938904	1.07916666666667	yes	0	F5	1,2,4	blink,blink,eye movement	0
205.426	0.002	102714	Stimulus	S 20	1	12	n/a	n/a	n/a	shoulder	real	2.2375	2.24171209335327	1.50002908706665	3.00005865097046	1.17083333333333	yes	0	F5	1,2,4	blink,blink,eye movement	0
214.202	0.002	107102	Stimulus	S 20	1	13	n/a	n/a	n/a	shoulder	real	2.2375	2.24171209335327	1.50002980232239	3.00005912780762	0.345833333333333	yes	0	F5	1,2,4	blink,blink,eye movement	0
222.86	0.002	111431	Stimulus	S 20	1	14	n/a	n/a	n/a	mouth	real	2.14583333333333	2.15004301071167	1.50002956390381	3.00006031990051	1.53333333333333	yes	0	F5	1,2,4	blink,blink,eye movement	0
232.326	0.002	116164	Stimulus	S 20	1	15	n/a	n/a	n/a	shoulder	real	2.95416666666667	2.95839405059814	1.50002980232239	3.00006008148193	1.80833333333333	yes	0	F5	1,2,4	blink,blink,eye movement	0
241.776	0.002	120889	Stimulus	S 20	1	16	n/a	n/a	n/a	forward	real	2.9375	2.94172596931458	1.50003123283386	3.00006008148193	0.741666666666667	yes	0	F5	1,2,4	blink,blink,eye movement	0
251.11	0.002	125556	Stimulus	S 20	1	17	n/a	n/a	n/a	shoulder	real	2.82083333333333	2.82505798339844	1.50003004074097	3.00006103515625	0.495833333333333	yes	0	F5	1,2,4	blink,blink,eye movement	0
260.352	0.002	130177	Stimulus	S 20	1	18	n/a	n/a	n/a	mouth	real	2.72916666666667	2.73339033126831	1.50003099441528	3.00006079673767	0.55	yes	0	F5	1,2,4	blink,blink,eye movement	0
269.036	0.002	134519	Stimulus	S 20	1	19	n/a	n/a	n/a	forward	real	2.17083333333333	2.17504596710205	1.50003004074097	3.00006198883057	0.929166666666667	yes	0	F5	1,2,4	blink,blink,eye movement	0
277.902	0.002	138952	Stimulus	S 20	1	20	n/a	n/a	n/a	shoulder	real	2.35416666666667	2.35838317871094	1.5000307559967	3.00006103515625	0.866666666666667	yes	0	F5	1,2,4	blink,blink,eye movement	0
